question_text,ideal_answer,key_points,difficulty,category
What is a string in C?,A string in C is an array of characters terminated by a null character ('\0'). Strings are used to store and manipulate text.,"[""array of characters"",""ends with null character"",""used for text data"",""stored in char array"",""commonly used for input/output""]",easy,c
What is a header file in C?,"A header file contains function declarations, macros, and definitions used in a C program. They are included using the #include directive.","[""contains declarations"",""included using #include"",""examples: stdio.h math.h"",""improves code reuse"",""provides library functions""]",easy,c
What is the return statement in C?,The return statement is used to exit a function and optionally send a value back to the calling function.,"[""exits a function"",""returns value to caller"",""used in functions"",""important for program flow"",""commonly used in main""]",easy,c
What is a comment in C?,Comments are non-executable statements used to explain code and improve readability. They are ignored by the compiler.,"[""used to explain code"",""ignored by compiler"",""single line comments //"",""multi-line comments /* */"",""improves code readability""]",easy,c
What is the break statement in C?,The break statement is used to exit a loop or switch statement immediately when a certain condition is met.,"[""terminates loop"",""used in switch statements"",""stops execution early"",""improves control flow"",""used with conditions""]",easy,c
What is the continue statement in C?,The continue statement skips the current iteration of a loop and moves to the next iteration.,"[""skips current iteration"",""used inside loops"",""continues next iteration"",""does not terminate loop"",""used for control flow""]",easy,c
What is the difference between declaration and definition of a variable in C?,"A declaration tells the compiler about the existence and type of a variable without allocating memory. A definition actually allocates memory for the variable. In C, variables must be declared before use and defined once to store data.","[""declaration introduces variable"",""definition allocates memory"",""declaration specifies type"",""definition stores actual value"",""variable must be defined once""]",medium,c
What is the difference between call by value and call by reference in C?,"In call by value, a copy of the variable is passed to the function, so changes inside the function do not affect the original variable. In call by reference, the address of the variable is passed using pointers, allowing the function to modify the original value.","[""call by value passes copy"",""call by reference passes address"",""call by value does not modify original variable"",""call by reference modifies original variable"",""pointers used for call by reference""]",medium,c
What are storage classes in C?,"Storage classes define the scope, lifetime, and visibility of variables in C programs. The main storage classes are auto, register, static, and extern.","[""defines scope of variable"",""defines lifetime"",""types: auto register static extern"",""controls memory allocation"",""affects visibility""]",medium,c
What is the static keyword in C?,The static keyword is used to retain the value of a variable between function calls. It also restricts the visibility of variables and functions to the file where they are declared.,"[""retains value between calls"",""used with variables"",""used with functions"",""limits scope to file"",""stored in static memory""]",medium,c
What is the extern keyword in C?,The extern keyword is used to declare a global variable that is defined in another file. It allows variables to be shared across multiple source files.,"[""used for global variables"",""declares variable defined elsewhere"",""enables sharing across files"",""no memory allocation"",""used in multi-file programs""]",medium,c
What is recursion in C?,Recursion is a programming technique where a function calls itself to solve a smaller version of the same problem. It continues until a base condition stops the recursive calls.,"[""function calls itself"",""used for repetitive problems"",""requires base condition"",""solves smaller subproblems"",""used in algorithms like factorial""]",medium,c
What is dynamic memory allocation in C?,"Dynamic memory allocation allows memory to be allocated at runtime using functions like malloc(), calloc(), realloc(), and free() from the stdlib.h library.","[""memory allocated at runtime"",""uses malloc calloc realloc"",""free used to release memory"",""flexible memory usage"",""defined in stdlib.h""]",medium,c
What is the difference between malloc() and calloc()?,malloc() allocates a single block of memory of a specified size but does not initialize it. calloc() allocates memory for multiple elements and initializes them to zero.,"[""malloc allocates memory"",""calloc allocates multiple elements"",""malloc does not initialize memory"",""calloc initializes memory to zero"",""both used for dynamic allocation""]",medium,c
What is the difference between structure and union in C?,"In a structure, each member has its own memory location, while in a union all members share the same memory location. Structures store multiple values simultaneously, whereas unions store one value at a time.","[""struct members separate memory"",""union members share memory"",""struct can store multiple values"",""union stores one value at a time"",""union saves memory""]",medium,c
What is a structure in C?,A structure is a user-defined data type that groups variables of different data types under one name. It is used to represent complex data objects.,"[""user defined data type"",""groups different data types"",""declared using struct"",""used to represent complex data"",""supports multiple fields""]",medium,c
What is a union in C?,A union is a user-defined data type where all members share the same memory location. Only one member can hold a value at a time.,"[""user defined type"",""members share memory"",""only one value stored at a time"",""declared using union"",""efficient memory usage""]",medium,c
What is a pointer to pointer in C?,A pointer to pointer is a variable that stores the address of another pointer. It is declared using double asterisks (**).,"[""stores address of pointer"",""declared using **"",""used in dynamic arrays"",""used in advanced memory operations"",""supports multi level indirection""]",medium,c
What is a function pointer in C?,A function pointer is a pointer that stores the address of a function. It allows functions to be passed as arguments or called dynamically.,"[""stores function address"",""calls functions dynamically"",""used in callbacks"",""supports flexible code design"",""improves modularity""]",medium,c
What is pointer arithmetic?,Pointer arithmetic refers to operations performed on pointers such as incrementing or decrementing them to move through memory addresses.,"[""operations on pointers"",""increment decrement pointers"",""moves through memory"",""based on data type size"",""used in arrays""]",medium,c
What is the difference between array and pointer?,An array is a collection of elements stored in contiguous memory locations. A pointer is a variable that stores the address of another variable or memory location.,"[""array stores multiple values"",""pointer stores address"",""array fixed memory block"",""pointer can reference different locations"",""arrays closely related to pointers""]",medium,c
What is a macro in C?,A macro is a preprocessor directive that defines a constant or a function-like expression using #define. It replaces code during compilation.,"[""defined using #define"",""handled by preprocessor"",""code substitution"",""no type checking"",""used for constants and expressions""]",medium,c
What is a typedef in C?,typedef is used to create an alias or new name for an existing data type. It improves code readability and simplifies complex declarations.,"[""creates alias for type"",""improves readability"",""simplifies declarations"",""used with structs"",""defined using typedef keyword""]",medium,c
What is file handling in C?,"File handling in C allows programs to read from and write to files using functions like fopen(), fclose(), fprintf(), and fscanf().","[""read write files"",""uses file pointers"",""functions like fopen fclose"",""persistent data storage"",""important for file operations""]",medium,c
What are command line arguments in C?,Command line arguments allow parameters to be passed to a program when it is executed. They are received through the main() function using argc and argv.,"[""parameters passed at runtime"",""argc counts arguments"",""argv stores arguments"",""used in main function"",""helps dynamic program input""]",medium,c
What is a dangling pointer?,A dangling pointer is a pointer that refers to a memory location that has already been freed or deleted. Using such pointers can cause unpredictable behavior.,"[""points to freed memory"",""causes undefined behavior"",""occurs after free()"",""dangerous memory error"",""should be set to NULL""]",medium,c
What is a null pointer?,A null pointer is a pointer that does not point to any valid memory location. It is usually assigned the value NULL.,"[""points to nothing"",""value is NULL"",""used to initialize pointers"",""avoids garbage addresses"",""safe pointer practice""]",medium,c
What is a preprocessor in C?,"The preprocessor processes directives before compilation. It handles tasks like including header files, defining macros, and conditional compilation.","[""runs before compilation"",""handles #include"",""handles #define"",""supports conditional compilation"",""part of compilation process""]",medium,c
What is conditional compilation?,"Conditional compilation allows certain parts of code to be compiled only when specific conditions are met using directives like #ifdef, #ifndef, and #endif.","[""compiles code conditionally"",""uses #ifdef #ifndef"",""controlled by macros"",""used for debugging"",""improves portability""]",medium,c
What is an enumeration in C?,An enumeration is a user-defined data type consisting of a set of named integer constants defined using the enum keyword.,"[""user defined type"",""set of named constants"",""declared using enum"",""improves readability"",""represents fixed values""]",medium,c
What is the difference between getc() and getchar()?,"getc() reads a character from a file stream, while getchar() reads a character from standard input (keyboard).","[""getc reads from file"",""getchar reads from keyboard"",""both read single characters"",""used in input operations"",""part of stdio.h""]",medium,c
What is the difference between fputs() and puts()?,"fputs() writes a string to a specified file stream, while puts() writes a string to standard output and automatically adds a newline.","[""fputs writes to file"",""puts writes to console"",""puts adds newline"",""fputs needs file pointer"",""both used for output""]",medium,c
What is the difference between ++i and i++?,#NAME?,"[""++i increments first"",""i++ increments later"",""both increase value by one"",""behavior differs in expressions"",""important in loops""]",medium,c
What is the difference between while and do-while loop?,A while loop checks the condition before executing the loop body. A do-while loop executes the loop body first and checks the condition afterward.,"[""while checks condition first"",""do while executes once before check"",""while may run zero times"",""do while runs at least once"",""both used for iteration""]",medium,c
What is segmentation fault in C?,"A segmentation fault occurs when a program tries to access memory that it is not allowed to access, such as dereferencing a null pointer or accessing invalid memory.","[""invalid memory access"",""causes program crash"",""common with pointers"",""occurs with null pointers"",""dangerous runtime error""]",medium,c
What is buffer overflow in C?,"Buffer overflow occurs when a program writes more data to a buffer than it can hold, potentially overwriting adjacent memory and causing security vulnerabilities.","[""exceeding buffer size"",""overwrites memory"",""causes program errors"",""security vulnerability"",""common in unsafe input functions""]",medium,c
What is the difference between stack memory and heap memory in C?,"Stack memory is used for static memory allocation such as local variables and function calls. It is managed automatically by the compiler. Heap memory is used for dynamic memory allocation and is managed manually by the programmer using functions like malloc(), calloc(), and free().","[""stack used for local variables"",""heap used for dynamic allocation"",""stack managed automatically"",""heap managed manually"",""heap uses malloc calloc free""]",hard,c
What is memory leakage in C and how can it be prevented?,"Memory leakage occurs when dynamically allocated memory is not released using free(), causing memory to remain allocated even when it is no longer needed. It can be prevented by properly freeing allocated memory and avoiding losing references to allocated blocks.","[""memory allocated but not freed"",""causes memory wastage"",""occurs with dynamic memory"",""prevented using free"",""important for long running programs""]",hard,c
What is the volatile keyword in C?,"The volatile keyword tells the compiler that a variable's value may change at any time outside the program's control, such as hardware registers or shared variables in embedded systems. Therefore, the compiler should not optimize accesses to that variable.","[""prevents compiler optimization"",""value may change unexpectedly"",""used with hardware registers"",""important in embedded systems"",""ensures fresh memory read""]",hard,c
What is the restrict keyword in C?,The restrict keyword is used with pointers to indicate that the pointer is the only reference to that memory location. It allows the compiler to perform better optimizations.,"[""used with pointers"",""indicates exclusive access"",""improves compiler optimization"",""reduces aliasing"",""introduced in C99""]",hard,c
What is the difference between shallow copy and deep copy in C?,"A shallow copy copies only the reference or pointer to data, so both variables refer to the same memory location. A deep copy duplicates the actual data into a separate memory location.","[""shallow copy copies address"",""deep copy copies actual data"",""shallow shares memory"",""deep creates new memory"",""important in structures and pointers""]",hard,c
What is undefined behavior in C?,Undefined behavior occurs when a C program performs operations that the language specification does not define. This can lead to unpredictable results such as crashes or incorrect outputs.,"[""behavior not defined by C standard"",""may produce unpredictable results"",""can cause crashes"",""examples include invalid memory access"",""should be avoided""]",hard,c
What is a flexible array member in C?,"A flexible array member is an array declared with no size inside a structure, usually as the last member. It allows dynamic allocation of extra memory for variable-sized data structures.","[""array with no fixed size"",""declared at end of struct"",""supports dynamic memory"",""introduced in C99"",""used for variable sized structures""]",hard,c
What is the difference between const pointer and pointer to const in C?,A pointer to const means the pointer can change but the value it points to cannot be modified. A const pointer means the pointer cannot change its address but the value it points to can be modified.,"[""pointer to const protects data"",""const pointer protects address"",""syntax differs"",""important in memory safety"",""used for read only data""]",hard,c
What is memory alignment in C?,Memory alignment refers to arranging data in memory according to specific boundaries required by the CPU. Proper alignment improves performance and avoids hardware exceptions.,"[""arranges memory efficiently"",""improves performance"",""depends on CPU architecture"",""important in structures"",""avoids hardware faults""]",hard,c
What is padding in structures?,Padding refers to extra bytes inserted by the compiler between structure members to satisfy memory alignment requirements.,"[""extra bytes added"",""ensures proper alignment"",""improves performance"",""affects structure size"",""controlled by compiler""]",hard,c
What is the difference between memcpy() and memmove()?,memcpy() copies memory blocks but does not handle overlapping memory regions safely. memmove() can safely copy memory even when the source and destination overlap.,"[""both copy memory"",""memcpy faster"",""memmove handles overlap"",""defined in string.h"",""used in memory operations""]",hard,c
What is the difference between static and dynamic linking?,"Static linking includes library code directly into the executable during compilation, increasing executable size. Dynamic linking loads library code at runtime, reducing executable size and allowing shared libraries.","[""static linking compile time"",""dynamic linking runtime"",""static increases executable size"",""dynamic uses shared libraries"",""affects performance and portability""]",hard,c
What is reentrancy in C functions?,A reentrant function is a function that can be safely interrupted and called again before its previous execution is completed without causing data corruption.,"[""can be called simultaneously"",""safe for interrupts"",""does not use shared data"",""used in multi tasking systems"",""important in embedded programming""]",hard,c
What is the difference between inline function and macro?,An inline function is a function where the compiler attempts to expand the function code inline to reduce function call overhead. Macros are preprocessor substitutions without type checking.,"[""inline function compiled"",""macro processed by preprocessor"",""inline supports type checking"",""macro no type safety"",""inline safer than macros""]",hard,c
What is the difference between lvalue and rvalue in C?,An lvalue refers to a memory location that can appear on the left side of an assignment. An rvalue represents a value or expression that cannot be assigned to.,"[""lvalue refers to memory location"",""rvalue represents value"",""lvalue can appear on left side"",""rvalue cannot be assigned"",""important in expressions""]",hard,c
What is a bit field in C?,Bit fields allow storing data in smaller numbers of bits within a structure. They are used to save memory when storing flags or small integer values.,"[""stores data in bits"",""defined in structures"",""saves memory"",""used for flags"",""syntax uses colon operator""]",hard,c
What is strict aliasing rule in C?,The strict aliasing rule states that a memory location should only be accessed using a pointer of a compatible type. Violating this rule can cause undefined behavior and incorrect compiler optimizations.,"[""restricts pointer type access"",""improves compiler optimization"",""violations cause undefined behavior"",""important for performance"",""related to pointer aliasing""]",hard,c
What is the difference between exit() and _exit() in C?,exit() performs cleanup operations such as flushing buffers and calling functions registered with atexit(). _exit() immediately terminates the process without performing cleanup.,"[""exit performs cleanup"",""_exit terminates immediately"",""exit flushes buffers"",""_exit used in system programming"",""important in process control""]",hard,c
What is the purpose of setjmp() and longjmp()?,"setjmp() and longjmp() are used for non-local jumps in C. setjmp() saves the current execution environment and longjmp() restores it, allowing the program to jump back to a previous point in execution.","[""used for non local jumps"",""setjmp saves environment"",""longjmp restores environment"",""used for error handling"",""complex control flow""]",hard,c
What is the difference between stack overflow and heap overflow?,"Stack overflow occurs when too much memory is used on the call stack, usually due to deep recursion or large local variables. Heap overflow occurs when a program writes beyond the allocated heap memory block.","[""stack overflow from recursion"",""heap overflow from memory overwrite"",""stack used for function calls"",""heap used for dynamic memory"",""both cause program crashes""]",hard,c
What is C++?,"C++ is a general-purpose programming language developed by Bjarne Stroustrup as an extension of the C language. It supports procedural programming as well as object-oriented programming concepts such as classes, inheritance, and polymorphism.","[""extension of C language"",""developed by Bjarne Stroustrup"",""general purpose programming language"",""supports object oriented programming"",""used for system and application development""]",easy,c++
What is a class in C++?,A class in C++ is a user-defined data type that groups data members and member functions together. It acts as a blueprint for creating objects and supports object-oriented programming principles.,"[""user defined data type"",""contains data members"",""contains member functions"",""blueprint for objects"",""supports object oriented programming""]",easy,c++
What is an object in C++?,An object is an instance of a class. It represents a real-world entity and allows access to the class's data members and member functions.,"[""instance of a class"",""represents real world entity"",""uses class properties"",""accesses member functions"",""used to perform operations""]",easy,c++
What is encapsulation in C++?,Encapsulation is the process of wrapping data and functions together inside a class. It helps in hiding internal implementation details and provides controlled access through public methods.,"[""wraps data and functions"",""implemented using classes"",""data hiding concept"",""controlled access"",""important OOP principle""]",easy,c++
What is inheritance in C++?,Inheritance is an object-oriented concept where a class can acquire properties and behavior of another class. The class that inherits is called the derived class and the class being inherited from is called the base class.,"[""reusing code from another class"",""base class and derived class"",""supports code reuse"",""important OOP feature"",""reduces code duplication""]",easy,c++
What is polymorphism in C++?,"Polymorphism means the ability of a function or operator to behave differently depending on the context. It is achieved through function overloading, operator overloading, and virtual functions.","[""one function many forms"",""function overloading"",""operator overloading"",""runtime polymorphism"",""important OOP concept""]",easy,c++
What is a constructor in C++?,A constructor is a special member function of a class that is automatically called when an object is created. It is used to initialize objects and set initial values for data members.,"[""special member function"",""same name as class"",""called automatically"",""initializes object"",""no return type""]",easy,c++
What is a destructor in C++?,A destructor is a special member function that is automatically called when an object goes out of scope or is deleted. It is used to release resources and perform cleanup operations.,"[""called when object destroyed"",""used for cleanup"",""frees resources"",""starts with tilde symbol"",""no return type""]",easy,c++
What is function overloading in C++?,Function overloading allows multiple functions to have the same name but different parameters. The compiler determines which function to call based on the arguments passed.,"[""same function name"",""different parameters"",""compile time polymorphism"",""improves readability"",""resolved by compiler""]",easy,c++
What is operator overloading in C++?,Operator overloading allows programmers to redefine the behavior of operators for user-defined data types such as classes and structures.,"[""redefines operator behavior"",""used with classes"",""improves readability"",""supports polymorphism"",""example plus operator""]",easy,c++
What is the difference between C and C++?,"C is a procedural programming language while C++ supports both procedural and object-oriented programming. C++ includes additional features such as classes, inheritance, polymorphism, and exception handling.","[""C is procedural"",""C++ supports OOP"",""C++ has classes"",""C++ supports inheritance"",""C++ supports polymorphism""]",easy,c++
What is the use of the 'this' pointer in C++?,The 'this' pointer is a special pointer available inside member functions of a class. It refers to the current object that is invoking the member function.,"[""points to current object"",""used in member functions"",""helps access class members"",""resolves naming conflicts"",""automatic pointer""]",easy,c++
"What is the difference between public, private, and protected in C++?","These are access specifiers in C++ that control access to class members. Public members are accessible from anywhere, private members are accessible only inside the class, and protected members are accessible in derived classes.","[""access specifiers"",""public accessible everywhere"",""private accessible within class"",""protected accessible in derived classes"",""controls data access""]",easy,c++
What is a namespace in C++?,"A namespace is used to organize code and avoid name conflicts. It allows grouping of related functions, classes, and variables under a specific name.","[""organizes code"",""avoids name conflicts"",""groups identifiers"",""defined using namespace keyword"",""example std namespace""]",easy,c++
What is the standard namespace in C++?,"The standard namespace 'std' contains all the standard library functions, objects, and classes such as cout, cin, and endl.","[""contains standard library"",""example cout cin"",""used with using namespace std"",""prevents naming conflicts"",""part of C++ standard library""]",easy,c++
What is the difference between cin and cout?,"cin is used for input operations and reads data from the user through the keyboard, while cout is used to display output on the console.","[""cin for input"",""cout for output"",""part of iostream"",""uses extraction operator"",""uses insertion operator""]",easy,c++
What is a header file in C++?,"A header file contains declarations of functions, classes, and variables that can be used in multiple source files. It is included using the #include directive.","[""contains declarations"",""used with #include"",""supports code reuse"",""example iostream"",""important for modular programming""]",easy,c++
What is a reference variable in C++?,"A reference variable is an alias for another variable. Once a reference is initialized to a variable, it cannot be changed to refer to another variable.","[""alias for variable"",""uses ampersand symbol"",""must be initialized"",""cannot be reassigned"",""used for efficient parameter passing""]",easy,c++
What is dynamic memory allocation in C++?,Dynamic memory allocation allows memory to be allocated during runtime using operators like new and deallocated using delete.,"[""allocated at runtime"",""uses new operator"",""released using delete"",""used when size unknown"",""important for flexible memory usage""]",easy,c++
What is the difference between new/delete and malloc/free?,new and delete are operators in C++ used for dynamic memory allocation and they call constructors and destructors. malloc and free are functions from C that only allocate and deallocate memory without calling constructors.,"[""new delete in C++"",""malloc free in C"",""new calls constructor"",""delete calls destructor"",""malloc free do not call constructors""]",easy,c++
What is a copy constructor in C++?,A copy constructor is a special constructor used to create a new object as a copy of an existing object. It takes a reference to another object of the same class as its parameter and copies its data members.,"[""special constructor"",""creates copy of object"",""takes reference to same class"",""used during object initialization"",""important for object copying""]",medium,c++
What is the difference between shallow copy and deep copy in C++?,"A shallow copy copies the memory addresses of dynamically allocated members, causing multiple objects to share the same memory. A deep copy duplicates the actual data into separate memory locations, preventing conflicts.","[""shallow copy copies addresses"",""deep copy duplicates data"",""shallow may cause memory issues"",""deep copy allocates new memory"",""important for dynamic memory""]",medium,c++
What is a friend function in C++?,A friend function is a function that is not a member of a class but has permission to access the private and protected members of the class.,"[""not a class member"",""can access private members"",""declared using friend keyword"",""used for operator overloading"",""improves flexibility""]",medium,c++
What is a friend class in C++?,A friend class is a class that has permission to access the private and protected members of another class. This access is granted using the friend keyword.,"[""class accessing private members"",""declared using friend keyword"",""used between classes"",""improves collaboration"",""breaks strict encapsulation""]",medium,c++
What is the difference between struct and class in C++?,"In C++, both struct and class are similar but the default access specifier differs. In a struct members are public by default, while in a class members are private by default.","[""struct default public"",""class default private"",""both support functions"",""both support OOP features"",""main difference access level""]",medium,c++
What are virtual functions in C++?,A virtual function is a member function declared with the virtual keyword that allows dynamic binding. It enables runtime polymorphism by allowing derived classes to override base class functions.,"[""declared using virtual"",""supports runtime polymorphism"",""can be overridden"",""used in inheritance"",""resolved at runtime""]",medium,c++
What is function overriding in C++?,Function overriding occurs when a derived class provides its own implementation of a function already defined in the base class using the same signature.,"[""same function signature"",""used in inheritance"",""derived class implementation"",""runtime polymorphism"",""requires virtual function""]",medium,c++
What is a pure virtual function?,A pure virtual function is a virtual function that has no implementation in the base class and is declared using =0. It forces derived classes to implement the function.,"[""declared with =0"",""no implementation"",""forces derived classes to implement"",""used in abstract classes"",""supports polymorphism""]",medium,c++
What is an abstract class in C++?,An abstract class is a class that contains at least one pure virtual function and cannot be instantiated directly. It is used as a base class for other derived classes.,"[""contains pure virtual function"",""cannot create objects"",""used as base class"",""supports polymorphism"",""forces implementation in derived classes""]",medium,c++
What is the scope resolution operator in C++?,"The scope resolution operator (::) is used to define or access class members, global variables, and namespace members outside their scope.","[""operator ::"",""access class members"",""used with namespaces"",""used with global variables"",""used for function definitions""]",medium,c++
What is a static member variable in C++?,A static member variable is shared among all objects of a class. It is declared using the static keyword and only one copy exists regardless of how many objects are created.,"[""shared among objects"",""declared using static"",""single copy exists"",""belongs to class"",""memory allocated once""]",medium,c++
What is a static member function?,A static member function belongs to the class rather than any object. It can access only static data members and other static member functions.,"[""belongs to class"",""declared using static"",""cannot access non static members"",""called using class name"",""shared among objects""]",medium,c++
What is the difference between compile-time and runtime polymorphism?,Compile-time polymorphism is achieved through function overloading and operator overloading and resolved during compilation. Runtime polymorphism is achieved using virtual functions and resolved during program execution.,"[""compile time resolved by compiler"",""runtime resolved during execution"",""function overloading"",""operator overloading"",""virtual functions""]",medium,c++
What are templates in C++?,Templates allow writing generic functions and classes that work with different data types. They improve code reusability and reduce duplication.,"[""generic programming"",""function templates"",""class templates"",""works with multiple data types"",""improves code reuse""]",medium,c++
What is a function template?,A function template is a blueprint for creating functions that can operate with different data types without rewriting the code.,"[""generic function"",""uses template keyword"",""supports multiple data types"",""reduces duplicate code"",""resolved at compile time""]",medium,c++
What is a class template?,A class template allows the creation of classes that can operate with different data types using a generic definition.,"[""generic class definition"",""uses template keyword"",""supports different data types"",""reduces code duplication"",""used in STL""]",medium,c++
What is exception handling in C++?,"Exception handling in C++ is used to handle runtime errors using try, catch, and throw blocks. It allows programs to continue execution gracefully after an error.","[""handles runtime errors"",""uses try catch throw"",""prevents program crash"",""separates error handling"",""improves program reliability""]",medium,c++
What is the Standard Template Library (STL)?,"The Standard Template Library is a powerful C++ library that provides generic classes and functions for data structures and algorithms such as vectors, lists, maps, and sorting algorithms.","[""collection of templates"",""provides containers"",""provides algorithms"",""improves efficiency"",""part of C++ standard library""]",medium,c++
What is a vector in C++ STL?,A vector is a dynamic array container provided by STL that can automatically resize when elements are added or removed.,"[""dynamic array"",""part of STL"",""resizable container"",""supports random access"",""stored in contiguous memory""]",medium,c++
What is a map in C++ STL?,A map is an associative container that stores elements as key-value pairs where each key is unique and automatically sorted.,"[""stores key value pairs"",""unique keys"",""automatically sorted"",""part of STL"",""implemented using trees""]",medium,c++
What is the difference between vector and list in C++?,"A vector stores elements in contiguous memory and allows fast random access, while a list stores elements as linked nodes and allows efficient insertion and deletion.","[""vector uses dynamic array"",""list uses linked list"",""vector faster random access"",""list faster insertion"",""different memory structures""]",medium,c++
What is RAII in C++?,RAII stands for Resource Acquisition Is Initialization. It is a programming technique where resource allocation is tied to object lifetime and automatically released when the object is destroyed.,"[""resource management technique"",""allocation in constructor"",""release in destructor"",""prevents memory leaks"",""widely used in C++""]",medium,c++
What is the difference between delete and delete[]?,"delete is used to free memory allocated for a single object, while delete[] is used to free memory allocated for an array of objects.","[""delete single object"",""delete[] for arrays"",""used with new operator"",""prevents memory leaks"",""important in dynamic allocation""]",medium,c++
What is the difference between reference and pointer in C++?,"A reference is an alias to an existing variable and must be initialized during declaration, while a pointer stores the memory address of another variable and can be reassigned.","[""reference alias of variable"",""pointer stores address"",""reference cannot be null"",""pointer can be null"",""different syntax""]",medium,c++
What is the mutable keyword in C++?,The mutable keyword allows a member variable of a class to be modified even if it is inside a const member function.,"[""used with class members"",""allows modification in const functions"",""used for caching"",""relaxes const restrictions"",""part of advanced C++""]",medium,c++
What is a lambda function in C++?,A lambda function is an anonymous function defined using a concise syntax. It is often used for short operations such as callbacks or STL algorithms.,"[""anonymous function"",""short inline function"",""uses capture list"",""used in STL algorithms"",""introduced in C++11""]",medium,c++
What is the difference between stack and heap in C++?,"Stack memory is automatically managed and used for local variables and function calls, while heap memory is manually managed using new and delete for dynamic allocation.","[""stack automatic memory"",""heap dynamic memory"",""stack faster"",""heap controlled by programmer"",""used for different purposes""]",medium,c++
"What is the difference between include <iostream> and include ""iostream""?","Using angle brackets searches for the header file in the system library directories, while double quotes first search in the current directory and then in system directories.","[""angle brackets system path"",""quotes current directory"",""used for header files"",""affects search order"",""important in compilation""]",medium,c++
What is move semantics in C++?,Move semantics allow resources to be transferred from one object to another without copying. It improves performance by avoiding unnecessary memory allocation.,"[""transfers resources"",""avoids copying"",""improves performance"",""uses rvalue references"",""introduced in C++11""]",medium,c++
What is an rvalue reference in C++?,An rvalue reference is a reference that can bind to temporary objects and is declared using &&. It is mainly used in move semantics.,"[""declared using &&"",""binds to temporary objects"",""used in move semantics"",""improves performance"",""introduced in C++11""]",medium,c++
What is the diamond problem in C++ and how is it resolved?,"The diamond problem occurs in multiple inheritance when a class inherits from two classes that both inherit from the same base class, leading to ambiguity. C++ resolves this problem using virtual inheritance to ensure only one instance of the base class exists.","[""occurs in multiple inheritance"",""two classes inherit same base class"",""causes ambiguity"",""resolved using virtual inheritance"",""ensures single base class instance""]",hard,c++
