question_text,ideal_answer,key_points,difficulty,category
What is the difference between while and do-while loop?,A while loop checks the condition before executing the loop body. A do-while loop executes the loop body first and checks the condition afterward.,,medium,c
What is segmentation fault in C?,"A segmentation fault occurs when a program tries to access memory that it is not allowed to access, such as dereferencing a null pointer or accessing invalid memory.",,medium,c
What is buffer overflow in C?,"Buffer overflow occurs when a program writes more data to a buffer than it can hold, potentially overwriting adjacent memory and causing security vulnerabilities.",,medium,c
What is the difference between stack memory and heap memory in C?,"Stack memory is used for static memory allocation such as local variables and function calls. It is managed automatically by the compiler. Heap memory is used for dynamic memory allocation and is managed manually by the programmer using functions like malloc(), calloc(), and free().",,hard,c
What is memory leakage in C and how can it be prevented?,"Memory leakage occurs when dynamically allocated memory is not released using free(), causing memory to remain allocated even when it is no longer needed. It can be prevented by properly freeing allocated memory and avoiding losing references to allocated blocks.",,hard,c
What is the volatile keyword in C?,"The volatile keyword tells the compiler that a variable's value may change at any time outside the program's control, such as hardware registers or shared variables in embedded systems. Therefore, the compiler should not optimize accesses to that variable.",,hard,c
What is the restrict keyword in C?,The restrict keyword is used with pointers to indicate that the pointer is the only reference to that memory location. It allows the compiler to perform better optimizations.,,hard,c
What is the difference between shallow copy and deep copy in C?,"A shallow copy copies only the reference or pointer to data, so both variables refer to the same memory location. A deep copy duplicates the actual data into a separate memory location.",,hard,c
What is undefined behavior in C?,Undefined behavior occurs when a C program performs operations that the language specification does not define. This can lead to unpredictable results such as crashes or incorrect outputs.,,hard,c
What is a flexible array member in C?,"A flexible array member is an array declared with no size inside a structure, usually as the last member. It allows dynamic allocation of extra memory for variable-sized data structures.",,hard,c
What is the difference between const pointer and pointer to const in C?,A pointer to const means the pointer can change but the value it points to cannot be modified. A const pointer means the pointer cannot change its address but the value it points to can be modified.,,hard,c
What is memory alignment in C?,Memory alignment refers to arranging data in memory according to specific boundaries required by the CPU. Proper alignment improves performance and avoids hardware exceptions.,,hard,c
What is padding in structures?,Padding refers to extra bytes inserted by the compiler between structure members to satisfy memory alignment requirements.,,hard,c
What is the difference between memcpy() and memmove()?,memcpy() copies memory blocks but does not handle overlapping memory regions safely. memmove() can safely copy memory even when the source and destination overlap.,,hard,c
What is the difference between static and dynamic linking?,"Static linking includes library code directly into the executable during compilation, increasing executable size. Dynamic linking loads library code at runtime, reducing executable size and allowing shared libraries.",,hard,c
What is reentrancy in C functions?,A reentrant function is a function that can be safely interrupted and called again before its previous execution is completed without causing data corruption.,,hard,c
What is the difference between inline function and macro?,An inline function is a function where the compiler attempts to expand the function code inline to reduce function call overhead. Macros are preprocessor substitutions without type checking.,,hard,c
What is the difference between lvalue and rvalue in C?,An lvalue refers to a memory location that can appear on the left side of an assignment. An rvalue represents a value or expression that cannot be assigned to.,,hard,c
What is a bit field in C?,Bit fields allow storing data in smaller numbers of bits within a structure. They are used to save memory when storing flags or small integer values.,,hard,c
What is strict aliasing rule in C?,The strict aliasing rule states that a memory location should only be accessed using a pointer of a compatible type. Violating this rule can cause undefined behavior and incorrect compiler optimizations.,,hard,c
What is the difference between exit() and _exit() in C?,exit() performs cleanup operations such as flushing buffers and calling functions registered with atexit(). _exit() immediately terminates the process without performing cleanup.,,hard,c
What is the purpose of setjmp() and longjmp()?,"setjmp() and longjmp() are used for non-local jumps in C. setjmp() saves the current execution environment and longjmp() restores it, allowing the program to jump back to a previous point in execution.",,hard,c
What is the difference between stack overflow and heap overflow?,"Stack overflow occurs when too much memory is used on the call stack, usually due to deep recursion or large local variables. Heap overflow occurs when a program writes beyond the allocated heap memory block.",,hard,c
What is C++?,"C++ is a general-purpose programming language developed by Bjarne Stroustrup as an extension of the C language. It supports procedural programming as well as object-oriented programming concepts such as classes, inheritance, and polymorphism.",,easy,c++
What is a class in C++?,A class in C++ is a user-defined data type that groups data members and member functions together. It acts as a blueprint for creating objects and supports object-oriented programming principles.,,easy,c++
What is an object in C++?,An object is an instance of a class. It represents a real-world entity and allows access to the class's data members and member functions.,,easy,c++
What is encapsulation in C++?,Encapsulation is the process of wrapping data and functions together inside a class. It helps in hiding internal implementation details and provides controlled access through public methods.,,easy,c++
What is inheritance in C++?,Inheritance is an object-oriented concept where a class can acquire properties and behavior of another class. The class that inherits is called the derived class and the class being inherited from is called the base class.,,easy,c++
What is polymorphism in C++?,"Polymorphism means the ability of a function or operator to behave differently depending on the context. It is achieved through function overloading, operator overloading, and virtual functions.",,easy,c++
What is a constructor in C++?,A constructor is a special member function of a class that is automatically called when an object is created. It is used to initialize objects and set initial values for data members.,,easy,c++
What is a destructor in C++?,A destructor is a special member function that is automatically called when an object goes out of scope or is deleted. It is used to release resources and perform cleanup operations.,,easy,c++
What is function overloading in C++?,Function overloading allows multiple functions to have the same name but different parameters. The compiler determines which function to call based on the arguments passed.,,easy,c++
What is operator overloading in C++?,Operator overloading allows programmers to redefine the behavior of operators for user-defined data types such as classes and structures.,,easy,c++
What is the difference between C and C++?,"C is a procedural programming language while C++ supports both procedural and object-oriented programming. C++ includes additional features such as classes, inheritance, polymorphism, and exception handling.",,easy,c++
What is the use of the 'this' pointer in C++?,The 'this' pointer is a special pointer available inside member functions of a class. It refers to the current object that is invoking the member function.,,easy,c++
"What is the difference between public, private, and protected in C++?","These are access specifiers in C++ that control access to class members. Public members are accessible from anywhere, private members are accessible only inside the class, and protected members are accessible in derived classes.",,easy,c++
What is a namespace in C++?,"A namespace is used to organize code and avoid name conflicts. It allows grouping of related functions, classes, and variables under a specific name.",,easy,c++
What is the standard namespace in C++?,"The standard namespace 'std' contains all the standard library functions, objects, and classes such as cout, cin, and endl.",,easy,c++
What is the difference between cin and cout?,"cin is used for input operations and reads data from the user through the keyboard, while cout is used to display output on the console.",,easy,c++
What is a header file in C++?,"A header file contains declarations of functions, classes, and variables that can be used in multiple source files. It is included using the #include directive.",,easy,c++
What is a reference variable in C++?,"A reference variable is an alias for another variable. Once a reference is initialized to a variable, it cannot be changed to refer to another variable.",,easy,c++
What is dynamic memory allocation in C++?,Dynamic memory allocation allows memory to be allocated during runtime using operators like new and deallocated using delete.,,easy,c++
What is the difference between new/delete and malloc/free?,new and delete are operators in C++ used for dynamic memory allocation and they call constructors and destructors. malloc and free are functions from C that only allocate and deallocate memory without calling constructors.,,easy,c++
What is a copy constructor in C++?,A copy constructor is a special constructor used to create a new object as a copy of an existing object. It takes a reference to another object of the same class as its parameter and copies its data members.,,medium,c++
What is the difference between shallow copy and deep copy in C++?,"A shallow copy copies the memory addresses of dynamically allocated members, causing multiple objects to share the same memory. A deep copy duplicates the actual data into separate memory locations, preventing conflicts.",,medium,c++
What is a friend function in C++?,A friend function is a function that is not a member of a class but has permission to access the private and protected members of the class.,,medium,c++
What is a friend class in C++?,A friend class is a class that has permission to access the private and protected members of another class. This access is granted using the friend keyword.,,medium,c++
What is the difference between struct and class in C++?,"In C++, both struct and class are similar but the default access specifier differs. In a struct members are public by default, while in a class members are private by default.",,medium,c++
What are virtual functions in C++?,A virtual function is a member function declared with the virtual keyword that allows dynamic binding. It enables runtime polymorphism by allowing derived classes to override base class functions.,,medium,c++
What is function overriding in C++?,Function overriding occurs when a derived class provides its own implementation of a function already defined in the base class using the same signature.,,medium,c++
What is a pure virtual function?,A pure virtual function is a virtual function that has no implementation in the base class and is declared using =0. It forces derived classes to implement the function.,,medium,c++
What is an abstract class in C++?,An abstract class is a class that contains at least one pure virtual function and cannot be instantiated directly. It is used as a base class for other derived classes.,,medium,c++
What is the scope resolution operator in C++?,"The scope resolution operator (::) is used to define or access class members, global variables, and namespace members outside their scope.",,medium,c++
What is a static member variable in C++?,A static member variable is shared among all objects of a class. It is declared using the static keyword and only one copy exists regardless of how many objects are created.,,medium,c++
What is a static member function?,A static member function belongs to the class rather than any object. It can access only static data members and other static member functions.,,medium,c++
What is the difference between compile-time and runtime polymorphism?,Compile-time polymorphism is achieved through function overloading and operator overloading and resolved during compilation. Runtime polymorphism is achieved using virtual functions and resolved during program execution.,,medium,c++
What are templates in C++?,Templates allow writing generic functions and classes that work with different data types. They improve code reusability and reduce duplication.,,medium,c++
What is a function template?,A function template is a blueprint for creating functions that can operate with different data types without rewriting the code.,,medium,c++
What is a class template?,A class template allows the creation of classes that can operate with different data types using a generic definition.,,medium,c++
What is exception handling in C++?,"Exception handling in C++ is used to handle runtime errors using try, catch, and throw blocks. It allows programs to continue execution gracefully after an error.",,medium,c++
What is the Standard Template Library (STL)?,"The Standard Template Library is a powerful C++ library that provides generic classes and functions for data structures and algorithms such as vectors, lists, maps, and sorting algorithms.",,medium,c++
What is a vector in C++ STL?,A vector is a dynamic array container provided by STL that can automatically resize when elements are added or removed.,,medium,c++
What is a map in C++ STL?,A map is an associative container that stores elements as key-value pairs where each key is unique and automatically sorted.,,medium,c++
What is the difference between vector and list in C++?,"A vector stores elements in contiguous memory and allows fast random access, while a list stores elements as linked nodes and allows efficient insertion and deletion.",,medium,c++
What is RAII in C++?,RAII stands for Resource Acquisition Is Initialization. It is a programming technique where resource allocation is tied to object lifetime and automatically released when the object is destroyed.,,medium,c++
What is the difference between delete and delete[]?,"delete is used to free memory allocated for a single object, while delete[] is used to free memory allocated for an array of objects.",,medium,c++
What is the difference between reference and pointer in C++?,"A reference is an alias to an existing variable and must be initialized during declaration, while a pointer stores the memory address of another variable and can be reassigned.",,medium,c++
What is the mutable keyword in C++?,The mutable keyword allows a member variable of a class to be modified even if it is inside a const member function.,,medium,c++
What is a lambda function in C++?,A lambda function is an anonymous function defined using a concise syntax. It is often used for short operations such as callbacks or STL algorithms.,,medium,c++
What is the difference between stack and heap in C++?,"Stack memory is automatically managed and used for local variables and function calls, while heap memory is manually managed using new and delete for dynamic allocation.",,medium,c++
"What is the difference between include <iostream> and include ""iostream""?","Using angle brackets searches for the header file in the system library directories, while double quotes first search in the current directory and then in system directories.",,medium,c++
What is move semantics in C++?,Move semantics allow resources to be transferred from one object to another without copying. It improves performance by avoiding unnecessary memory allocation.,,medium,c++
What is an rvalue reference in C++?,An rvalue reference is a reference that can bind to temporary objects and is declared using &&. It is mainly used in move semantics.,,medium,c++
What is the diamond problem in C++ and how is it resolved?,"The diamond problem occurs in multiple inheritance when a class inherits from two classes that both inherit from the same base class, leading to ambiguity. C++ resolves this problem using virtual inheritance to ensure only one instance of the base class exists.",,hard,c++
What are smart pointers in C++?,"Smart pointers are objects that manage dynamically allocated memory automatically. They ensure proper deletion of memory and prevent memory leaks. Examples include unique_ptr, shared_ptr, and weak_ptr.",,hard,c++
What is the difference between unique_ptr and shared_ptr?,"unique_ptr provides exclusive ownership of a dynamically allocated object and cannot be copied, only moved. shared_ptr allows multiple pointers to share ownership of the same object and maintains a reference count.",,hard,c++
What is a virtual destructor and why is it important?,A virtual destructor ensures that the correct destructor is called when deleting an object through a base class pointer. This is important in inheritance hierarchies to avoid resource leaks.,,hard,c++
What is the Rule of Three in C++?,"The Rule of Three states that if a class defines a destructor, copy constructor, or copy assignment operator, it should probably define all three to properly manage resources.",,hard,c++
What is the Rule of Five in modern C++?,The Rule of Five extends the Rule of Three by adding move constructor and move assignment operator. It ensures proper handling of resources in modern C++ programs.,,hard,c++
What is the difference between lvalue reference and rvalue reference?,"An lvalue reference binds to objects with a persistent memory address, while an rvalue reference binds to temporary objects and is used to implement move semantics.",,hard,c++
What is SFINAE in C++?,"SFINAE stands for Substitution Failure Is Not An Error. It is a template metaprogramming principle where certain template instantiations are ignored if substitution fails, instead of producing compilation errors.",,hard,c++
What is template specialization?,Template specialization allows defining a specific implementation of a template for a particular data type to handle special cases.,,hard,c++
What is multiple inheritance in C++?,Multiple inheritance allows a class to inherit from more than one base class. It enables reuse of functionality from multiple classes but may introduce ambiguity issues.,,hard,c++
What is a virtual table (vtable) in C++?,A virtual table is a mechanism used by C++ compilers to support dynamic dispatch of virtual functions. It stores pointers to virtual functions for each class.,,hard,c++
What is dynamic dispatch in C++?,"Dynamic dispatch is the process where the function to be executed is determined at runtime rather than compile time, typically using virtual functions.",,hard,c++
What is type casting in C++?,"Type casting is the process of converting a variable from one data type to another. C++ provides casting operators like static_cast, dynamic_cast, const_cast, and reinterpret_cast.",,hard,c++
What is dynamic_cast used for?,dynamic_cast is used to safely convert pointers or references within an inheritance hierarchy. It performs runtime type checking to ensure safe casting.,,hard,c++
What is the difference between static_cast and reinterpret_cast?,"static_cast performs compile-time type conversions that are safe and well-defined, while reinterpret_cast performs low-level conversions that may reinterpret the binary representation of data.",,hard,c++
What is thread safety in C++?,Thread safety refers to the ability of a program to function correctly when multiple threads access shared data simultaneously without causing data corruption or race conditions.,,hard,c++
What is a race condition?,A race condition occurs when multiple threads access shared resources simultaneously and the program outcome depends on the order of execution.,,hard,c++
What is the difference between composition and inheritance?,"Inheritance represents an 'is-a' relationship where a class derives from another class, while composition represents a 'has-a' relationship where a class contains objects of other classes.",,hard,c++
What is a virtual function override specifier in C++?,The override specifier is used in derived classes to indicate that a function overrides a virtual function from the base class. It helps the compiler detect errors.,,hard,c++
What is constexpr in C++?,constexpr is used to indicate that a variable or function can be evaluated at compile time. It helps improve performance by enabling compile-time computation.,,hard,c++
What is Java?,"Java is a high-level, object-oriented programming language developed by Sun Microsystems and now owned by Oracle. It is platform-independent because Java programs are compiled into bytecode that runs on the Java Virtual Machine (JVM).",,easy,java
What is the JVM in Java?,The Java Virtual Machine (JVM) is an abstract machine that runs Java bytecode. It provides platform independence by allowing Java programs to run on any system that has a JVM installed.,,easy,java
What is the JDK?,"The Java Development Kit (JDK) is a software development environment used to develop Java applications. It includes tools such as the compiler, debugger, and the Java Runtime Environment.",,easy,java
What is the JRE in Java?,The Java Runtime Environment (JRE) provides the necessary libraries and components required to run Java programs. It includes the JVM and standard class libraries.,,easy,java
What is a class in Java?,A class in Java is a blueprint used to create objects. It defines properties (variables) and behaviors (methods) that objects created from the class can have.,,easy,java
What is an object in Java?,An object is an instance of a class that represents a real-world entity. It contains data and methods defined in the class.,,easy,java
What is inheritance in Java?,Inheritance is a mechanism in Java where one class acquires the properties and methods of another class. It helps in code reuse and establishing relationships between classes.,,easy,java
What is polymorphism in Java?,"Polymorphism means the ability of an object to take many forms. In Java, it is achieved through method overloading and method overriding.",,easy,java
What is encapsulation in Java?,Encapsulation is the process of wrapping data and methods together into a single unit called a class. It also restricts direct access to some components using access modifiers.,,easy,java
What is abstraction in Java?,Abstraction is the concept of hiding implementation details and showing only essential features of an object. It can be achieved using abstract classes and interfaces.,,easy,java
What is the main method in Java?,The main method is the entry point of a Java application. The Java Virtual Machine starts executing the program from the main method.,,easy,java
What are access modifiers in Java?,"Access modifiers define the visibility of classes, variables, and methods in Java. The main access modifiers are public, private, protected, and default.",,easy,java
What is the difference between method overloading and method overriding?,Method overloading occurs when multiple methods have the same name but different parameters in the same class. Method overriding occurs when a subclass provides its own implementation of a method already defined in the parent class.,,easy,java
What is a constructor in Java?,A constructor is a special method used to initialize objects. It has the same name as the class and is automatically called when an object is created.,,easy,java
What is a package in Java?,A package in Java is a namespace that organizes related classes and interfaces into groups. It helps avoid naming conflicts and improves code organization.,,easy,java
What is an interface in Java?,An interface is a reference type that contains abstract methods and constants. It is used to achieve abstraction and multiple inheritance in Java.,,easy,java
What is the difference between int and Integer in Java?,"int is a primitive data type that stores integer values directly, while Integer is a wrapper class that represents an integer object.",,easy,java
What is the use of the static keyword in Java?,The static keyword is used to indicate that a member belongs to the class rather than an instance of the class. Static members can be accessed without creating objects.,,easy,java
What is exception handling in Java?,"Exception handling in Java is used to handle runtime errors using try, catch, finally, throw, and throws blocks. It prevents program crashes and ensures smooth execution.",,easy,java
What is garbage collection in Java?,Garbage collection is an automatic memory management process in Java where unused objects are removed from memory to free up space.,,easy,java
What is the difference between ArrayList and LinkedList in Java?,"ArrayList and LinkedList are both implementations of the List interface in Java. ArrayList uses a dynamic array to store elements and provides fast random access, while LinkedList uses a doubly linked list structure which makes insertion and deletion operations more efficient.",,medium,java
What is the difference between HashMap and HashTable?,"HashMap and HashTable are used to store key-value pairs. HashMap is not synchronized and allows one null key and multiple null values, while HashTable is synchronized and does not allow null keys or values.",,medium,java
"What is the difference between String, StringBuilder, and StringBuffer?","String objects are immutable, meaning their values cannot be changed after creation. StringBuilder and StringBuffer are mutable classes that allow modification of strings. StringBuffer is thread-safe while StringBuilder is not synchronized and is faster.",,medium,java
What is the difference between checked and unchecked exceptions?,Checked exceptions are checked at compile time and must be handled using try-catch or declared using throws. Unchecked exceptions occur at runtime and do not require explicit handling.,,medium,java
"What is the difference between final, finally, and finalize?","final is a keyword used to restrict inheritance, modification, or overriding. finally is a block used in exception handling that always executes. finalize is a method called by the garbage collector before destroying an object.",,medium,java
What is multithreading in Java?,Multithreading is a process of executing multiple threads simultaneously within a program. It allows better CPU utilization and improves application performance.,,medium,java
What is the difference between Thread and Runnable in Java?,Thread is a class used to create a thread while Runnable is an interface that defines a run() method. Implementing Runnable is generally preferred because it allows a class to extend another class.,,medium,java
What is synchronization in Java?,Synchronization is a mechanism used to control access to shared resources in multithreaded environments. It prevents data inconsistency and race conditions.,,medium,java
What is a deadlock in Java?,"A deadlock occurs when two or more threads wait indefinitely for resources held by each other, causing the program to stop execution.",,medium,java
What is the Java Collection Framework?,"The Java Collection Framework is a set of classes and interfaces used to store and manipulate groups of objects efficiently. It includes List, Set, Queue, and Map interfaces.",,medium,java
What is the difference between Set and List?,"List allows duplicate elements and maintains insertion order, while Set does not allow duplicate elements and may not maintain order depending on implementation.",,medium,java
What is the difference between HashSet and TreeSet?,"HashSet stores elements using a hash table and does not maintain order, while TreeSet stores elements in sorted order using a tree structure.",,medium,java
What is the difference between Comparator and Comparable?,"Comparable is used to define the natural ordering of objects inside the class, while Comparator is used to define custom ordering outside the class.",,medium,java
What is serialization in Java?,Serialization is the process of converting an object into a byte stream so it can be stored in a file or transmitted over a network.,,medium,java
What is deserialization in Java?,Deserialization is the process of converting a byte stream back into an object.,,medium,java
What is the difference between abstract class and interface?,"An abstract class can contain both abstract and concrete methods, while an interface primarily contains abstract methods and supports multiple inheritance.",,medium,java
What is method overriding in Java?,Method overriding occurs when a subclass provides its own implementation of a method defined in its parent class using the same method signature.,,medium,java
What is the use of the super keyword?,"The super keyword refers to the parent class object. It is used to call parent class constructors, methods, or access parent class variables.",,medium,java
What is the use of the this keyword?,The this keyword refers to the current object of a class. It is used to differentiate instance variables from parameters and to call other constructors.,,medium,java
What is a wrapper class in Java?,"Wrapper classes convert primitive data types into objects. Examples include Integer, Double, Character, and Boolean.",,medium,java
What is autoboxing and unboxing?,"Autoboxing is the automatic conversion of primitive types to wrapper class objects, while unboxing converts wrapper objects back to primitive types.",,medium,java
What is the difference between equals() and == in Java?,The == operator compares object references while equals() compares the actual content or values of objects.,,medium,java
What is the difference between fail-fast and fail-safe iterators?,"Fail-fast iterators throw ConcurrentModificationException when a collection is modified during iteration, while fail-safe iterators work on a copy and do not throw exceptions.",,medium,java
What is the volatile keyword in Java?,"The volatile keyword ensures that a variable's value is always read from main memory instead of thread-local cache, ensuring visibility across threads.",,medium,java
What is the difference between process and thread?,"A process is an independent program with its own memory space, while a thread is a smaller unit of execution that shares memory within a process.",,medium,java
What is the Executor framework in Java?,The Executor framework provides a higher-level API for managing and controlling threads using thread pools instead of manually creating threads.,,medium,java
What is a lambda expression in Java?,A lambda expression is a short block of code used to implement functional interfaces and simplify anonymous class implementations.,,medium,java
What is the Stream API in Java?,"The Stream API allows processing of collections using functional programming concepts like filtering, mapping, and reducing.",,medium,java
What is dependency injection?,Dependency injection is a design pattern where objects receive their dependencies from external sources rather than creating them internally.,,medium,java
What is the difference between throw and throws?,"throw is used to explicitly throw an exception inside a method, while throws is used in a method signature to declare possible exceptions.",,medium,java
What is the Java Memory Model (JMM)?,"The Java Memory Model defines how threads interact through memory and how changes made by one thread become visible to other threads. It specifies rules for reading and writing variables in memory and ensures proper synchronization between threads. The JMM guarantees visibility, ordering, and atomicity when proper synchronization mechanisms such as volatile variables or synchronized blocks are used.",,hard,java
What are the different memory areas in JVM?,"The JVM divides memory into several areas including the heap, stack, method area, program counter register, and native method stack. The heap stores objects and instance variables, while the stack stores method calls and local variables. The method area stores class metadata and static variables.",,hard,java
What is the difference between ConcurrentHashMap and HashMap?,HashMap is not thread-safe and may cause inconsistent data when accessed by multiple threads. ConcurrentHashMap is designed for concurrent access and allows multiple threads to read and write safely without locking the entire map.,,hard,java
What is reflection in Java?,"Reflection is a feature that allows Java programs to inspect and modify classes, methods, constructors, and fields at runtime. It enables dynamic behavior such as accessing private members or creating objects dynamically.",,hard,java
What is the ClassLoader in Java?,"ClassLoader is a component of the JVM responsible for loading Java classes into memory during runtime. It loads classes from various sources such as file systems, networks, or JAR files.",,hard,java
What is the ForkJoin framework in Java?,The ForkJoin framework is a parallel execution framework introduced in Java 7 that allows tasks to be recursively split into smaller subtasks and executed in parallel using worker threads.,,hard,java
What is CompletableFuture in Java?,CompletableFuture is an advanced concurrency feature introduced in Java 8 that allows asynchronous programming and non-blocking execution of tasks with the ability to chain multiple computations.,,hard,java
What is the difference between fail-fast and fail-safe collections?,Fail-fast collections throw ConcurrentModificationException if the collection is modified during iteration. Fail-safe collections operate on a copy of the collection and do not throw exceptions when modified during iteration.,,hard,java
What is the difference between Callable and Runnable?,"Runnable represents a task that does not return a result and cannot throw checked exceptions, while Callable represents a task that returns a result and can throw checked exceptions.",,hard,java
What is the purpose of the volatile keyword?,The volatile keyword ensures that a variable’s value is always read from main memory rather than from a thread’s local cache. This guarantees visibility of changes across multiple threads.,,hard,java
What is a race condition in Java?,"A race condition occurs when multiple threads access and modify shared data simultaneously without proper synchronization, leading to unpredictable results.",,hard,java
What is the difference between shallow copy and deep copy?,A shallow copy copies object references while a deep copy creates a completely independent copy of the object including nested objects.,,hard,java
What is the difference between composition and inheritance?,Inheritance represents an 'is-a' relationship where a subclass inherits properties from a superclass. Composition represents a 'has-a' relationship where a class contains objects of other classes.,,hard,java
What is the difference between synchronous and asynchronous programming?,In synchronous programming tasks are executed sequentially and each task waits for the previous one to finish. In asynchronous programming tasks can run independently without blocking execution.,,hard,java
